_id,trans_after,revenue_after,test_coupon,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart,race,gender
6060,0,0,coupon,facebook,0,0,5,24,nothing,white,female
6061,1,70.99,control,facebook,0,0,2,21,nothing,white,female
6062,0,0,control,google,1,153.98,5,9,nothing,minority,male
6063,1,68.99,control,google,5,137.98,1,27,something,minority,female
6064,0,0,coupon,facebook,0,0,0,12,nothing,white,male
6065,1,59.592,coupon,instagram,0,0,1,12,nothing,white,female
6066,0,0,control,instagram,1,54.49,6,17,nothing,white,female
6067,0,0,control,google,4,49.99,2,1,something,white,male
6068,0,0,control,facebook,1,110.98,2,4,something,white,male
6069,0,0,coupon,instagram,4,70.99,2,32,nothing,white,female
6070,0,0,coupon,instagram,1,52.99,0,21,nothing,minority,female
6071,0,0,control,google,1,67.99,4,9,nothing,white,female
6072,0,0,control,google,0,0,1,15,something,white,male
6073,0,0,coupon,instagram,4,130.98,0,2,nothing,white,male
6074,0,0,control,facebook,0,0,2,10,something,white,male
6075,0,0,coupon,google,0,0,0,6,something,minority,male
6076,1,55.192,coupon,instagram,11,68.99,0,20,nothing,minority,female
6077,0,0,coupon,google,0,0,4,8,something,minority,male
6078,2,133.98,control,instagram,0,0,1,8,something,white,male
6079,0,0,control,facebook,4,191.97,0,17,something,white,female
6080,0,0,control,google,2,45.99,3,12,nothing,minority,male
6081,0,0,coupon,facebook,3,102.98,7,10,nothing,white,female
6082,0,0,control,instagram,1,65.99,4,8,nothing,white,female
6083,0,0,control,facebook,0,0,5,4,nothing,white,male
6084,0,0,control,instagram,1,61.99,4,20,nothing,white,female
6085,0,0,control,google,1,54.49,3,26,nothing,minority,female
6086,0,0,control,facebook,2,61.99,0,14,nothing,white,male
6087,0,0,coupon,google,1,69.99,5,12,nothing,minority,female
6088,0,0,control,google,7,64.49,5,13,something,minority,female
6089,0,0,control,google,2,54.99,1,24,nothing,minority,female
6090,0,0,coupon,facebook,0,0,6,9,something,white,male
6091,0,0,coupon,google,1,64.99,4,18,nothing,minority,female
6092,0,0,coupon,instagram,0,0,0,27,nothing,white,male
6093,0,0,control,facebook,0,0,1,17,nothing,white,female
6094,0,0,control,instagram,1,59.99,5,21,nothing,white,female
6095,0,0,coupon,facebook,0,0,0,19,nothing,minority,female
6096,0,0,control,google,2,70.99,1,21,nothing,minority,female
6097,0,0,control,facebook,5,239.97,1,13,nothing,white,male
6098,0,0,coupon,facebook,1,64.99,1,7,something,white,male
6099,0,0,coupon,google,2,36.99,2,12,nothing,white,male
6100,0,0,control,referral,5,155.97,4,1,nothing,white,male
6101,0,0,control,google,0,0,4,13,something,white,male
6102,0,0,control,facebook,1,51.49,2,10,nothing,white,male
6103,0,0,control,facebook,0,0,4,17,nothing,white,female
6104,0,0,coupon,google,4,55.99,3,1,nothing,white,male
6105,0,0,coupon,facebook,1,69.49,5,13,nothing,white,male
6106,0,0,coupon,google,2,35.99,2,20,nothing,white,female
6107,0,0,coupon,google,1,68.99,2,22,nothing,white,female
6108,0,0,control,facebook,1,91.49,3,13,nothing,white,female
6109,0,0,control,instagram,1,69.99,4,24,nothing,white,female
6110,0,0,coupon,instagram,0,0,5,5,nothing,white,female
6111,0,0,coupon,instagram,0,0,1,10,something,white,male
6112,0,0,control,facebook,0,0,5,15,nothing,white,female
6113,1,47.592,coupon,google,3,59.49,4,10,something,white,female
6114,0,0,control,instagram,2,60.99,0,24,nothing,white,female
6115,0,0,coupon,facebook,0,0,5,3,something,white,male
6116,0,0,coupon,facebook,0,0,5,17,something,minority,female
6117,0,0,control,instagram,3,53.99,0,19,nothing,white,female
6118,0,0,coupon,instagram,4,68.99,7,9,something,white,female
6119,0,0,control,facebook,1,59.99,1,22,nothing,white,female
6120,0,0,coupon,facebook,3,56.99,5,8,nothing,white,male
6121,0,0,coupon,google,3,65.99,4,17,nothing,minority,female
6122,1,63.192,coupon,google,9,157.98,2,14,something,minority,female
6123,0,0,coupon,google,1,56.99,1,17,something,white,female
6124,0,0,control,referral,1,58.99,0,25,something,white,female
6125,0,0,control,instagram,0,0,4,18,nothing,white,female
6126,0,0,control,google,3,59.99,4,18,something,minority,female
6127,0,0,control,other,1,80.99,0,18,nothing,white,female
6128,0,0,control,facebook,1,76.99,4,11,nothing,white,female
6129,0,0,control,instagram,1,62.99,5,4,nothing,white,male
6130,0,0,coupon,facebook,0,0,0,20,nothing,white,female
6131,0,0,coupon,google,0,0,0,5,nothing,white,male
6132,0,0,coupon,facebook,0,0,4,4,something,white,male
6133,0,0,control,google,0,0,0,10,nothing,white,male
6134,0,0,coupon,instagram,0,0,0,19,nothing,white,female
6135,0,0,coupon,google,4,72.99,5,22,nothing,white,female
6136,0,0,coupon,google,4,76.99,4,18,nothing,white,female
6137,0,0,coupon,google,0,0,3,1,nothing,white,male
6138,0,0,control,google,6,54.49,6,16,nothing,white,female
6139,0,0,coupon,facebook,0,0,4,8,nothing,white,male
6140,0,0,coupon,facebook,2,230.97,2,3,something,white,male
6141,0,0,coupon,instagram,3,45.99,3,21,nothing,white,female
6142,0,0,coupon,facebook,0,0,0,12,something,white,male
6143,1,74.99,control,instagram,0,0,2,20,nothing,white,female
6144,0,0,coupon,facebook,0,0,6,11,nothing,minority,female
6145,0,0,coupon,google,4,207.96,1,20,nothing,minority,female
6146,0,0,coupon,instagram,8,68.99,3,26,something,white,female
6147,0,0,control,facebook,5,161.97,2,15,nothing,white,male
6148,0,0,control,google,2,75.99,3,5,something,white,male
6149,0,0,control,facebook,2,62.99,1,1,something,white,male
6150,0,0,coupon,facebook,1,170.97,5,12,something,white,male
6151,0,0,control,instagram,0,0,0,16,nothing,white,female
6152,0,0,control,instagram,0,0,5,20,nothing,white,female
6153,1,45.99,control,google,6,45.99,4,17,something,white,male
6154,1,72.49,control,instagram,2,72.49,0,15,something,white,female
6155,0,0,coupon,instagram,0,0,0,20,something,white,female
6156,0,0,control,facebook,0,0,1,13,nothing,white,male
6157,0,0,coupon,google,0,0,1,9,nothing,minority,male
6158,0,0,coupon,facebook,2,295.96,3,7,nothing,white,male
6159,0,0,control,google,1,126.98,1,18,nothing,white,female
6160,0,0,coupon,instagram,2,138.98,0,11,nothing,white,female
6161,0,0,control,facebook,0,0,5,16,nothing,white,female
6162,0,0,coupon,instagram,0,0,2,11,nothing,white,female
6163,1,69.192,coupon,instagram,0,0,1,11,nothing,white,female
6164,0,0,coupon,instagram,0,0,6,9,something,white,male
6165,0,0,control,instagram,3,145.98,5,20,nothing,white,female
6166,0,0,control,instagram,0,0,0,22,nothing,white,female
6167,0,0,coupon,instagram,1,285.96,5,6,something,white,male
6168,0,0,control,instagram,0,0,3,17,nothing,minority,female
6169,0,0,control,google,2,224.97,1,11,nothing,white,female
6170,0,0,control,google,2,137.98,4,13,nothing,white,female
6171,0,0,coupon,instagram,0,0,4,14,nothing,white,female
6172,0,0,coupon,google,1,137.98,1,18,nothing,white,female
6173,0,0,control,google,3,135.98,1,1,something,minority,male
6174,0,0,coupon,instagram,0,0,0,11,nothing,white,female
6175,0,0,control,google,4,119.98,4,12,something,minority,female
6176,0,0,control,facebook,3,64.49,5,15,nothing,white,female
6177,0,0,coupon,facebook,6,74.49,1,20,nothing,white,female
6178,0,0,control,google,1,73.99,3,21,nothing,white,female
6179,0,0,coupon,instagram,2,48.99,1,11,nothing,white,male
6180,0,0,coupon,google,1,72.99,1,20,nothing,minority,female
6181,0,0,control,facebook,2,63.99,0,1,nothing,white,male
6182,0,0,control,google,7,57.99,7,2,nothing,white,male
6183,0,0,control,instagram,2,71.99,1,23,nothing,white,female
6184,0,0,control,instagram,0,0,0,12,nothing,white,female
6185,0,0,control,google,4,66.99,2,22,nothing,white,female
6186,0,0,coupon,other,2,77.99,3,15,nothing,white,female
6187,0,0,control,google,0,0,5,1,something,minority,male
6188,0,0,control,instagram,0,0,6,23,nothing,white,female
6189,0,0,coupon,google,0,0,2,18,nothing,white,female
6190,0,0,coupon,instagram,2,125.98,5,17,nothing,white,female
6191,0,0,coupon,google,0,0,0,15,nothing,white,female
6192,0,0,control,google,1,51.99,2,12,nothing,white,female
6193,0,0,control,facebook,0,0,0,1,something,white,male
6194,1,53.99,control,instagram,10,53.99,1,16,something,white,male
6195,0,0,control,instagram,0,0,1,20,nothing,white,female
6196,0,0,control,google,2,58.99,4,17,nothing,minority,male
6197,0,0,coupon,instagram,0,0,5,18,something,white,female
6198,2,182.98,control,google,18,91.49,0,20,nothing,white,female
6199,0,0,control,referral,2,58.99,0,2,nothing,white,male
6200,0,0,coupon,facebook,1,99.98,0,8,something,white,male
6201,0,0,coupon,facebook,0,0,3,16,nothing,white,male
6202,1,53.49,control,instagram,4,53.49,2,6,something,white,male
6203,0,0,control,facebook,0,0,4,8,nothing,white,male
6204,0,0,control,google,0,0,1,11,nothing,minority,female
6205,0,0,coupon,instagram,0,0,2,16,nothing,white,female
6206,1,82.49,control,facebook,1,82.49,0,13,something,white,male
6207,0,0,control,google,3,175.47,7,22,nothing,minority,female
6208,0,0,coupon,google,0,0,2,15,nothing,minority,female
6209,0,0,control,google,0,0,5,22,nothing,white,female
6210,0,0,coupon,instagram,1,52.99,6,18,something,white,female
6211,1,65.49,control,google,2,65.49,1,4,nothing,white,male
6212,0,0,coupon,google,0,0,4,9,nothing,white,male
6213,0,0,coupon,google,10,53.99,2,8,nothing,minority,male
6214,0,0,control,google,2,187.47,1,28,nothing,white,female
6215,1,71.49,control,facebook,2,71.49,0,19,nothing,white,female
6216,0,0,coupon,facebook,0,0,0,4,nothing,white,male
6217,0,0,control,google,2,67.99,4,15,nothing,white,female
6218,0,0,coupon,facebook,2,59.99,3,1,nothing,white,male
6219,0,0,coupon,instagram,3,75.49,7,8,nothing,minority,male
6220,0,0,coupon,google,1,64.99,0,10,nothing,white,female
6221,0,0,coupon,google,2,52.99,6,6,something,white,male
6222,1,65.592,coupon,other,2,327.96,1,14,something,white,male
6223,0,0,coupon,google,1,69.49,4,19,nothing,minority,female
6224,0,0,coupon,google,4,69.99,0,31,nothing,white,female
6225,0,0,control,instagram,3,62.49,1,13,nothing,white,male
6226,0,0,coupon,google,6,59.99,0,10,nothing,white,female
6227,0,0,control,instagram,0,0,4,3,nothing,white,male
6228,0,0,control,google,2,58.99,7,3,nothing,white,male
6229,0,0,coupon,google,6,56.99,4,10,something,minority,male
6230,0,0,control,google,1,63.49,1,18,nothing,minority,female
6231,0,0,control,google,0,0,7,13,something,white,male
6232,0,0,coupon,google,0,0,3,19,something,white,male
6233,0,0,coupon,facebook,0,0,7,20,nothing,white,female
6234,0,0,coupon,facebook,0,0,4,13,nothing,white,male
6235,0,0,control,instagram,0,0,7,10,something,white,male
6236,0,0,coupon,instagram,0,0,4,8,something,white,male
6237,0,0,control,google,1,217.96,4,24,nothing,white,male
6238,1,68.792,coupon,instagram,9,85.99,4,20,nothing,white,female
6239,0,0,control,instagram,5,39.49,1,11,nothing,white,male
6240,0,0,coupon,instagram,0,0,7,2,nothing,white,male
6241,0,0,coupon,instagram,1,109.98,5,20,nothing,minority,female
6242,0,0,coupon,facebook,0,0,0,16,nothing,white,female
6243,0,0,coupon,google,2,74.99,7,12,nothing,white,female
6244,1,32.792,coupon,google,1,40.99,0,17,something,minority,male
6245,0,0,coupon,google,0,0,6,1,nothing,white,male
6246,0,0,coupon,google,1,73.49,5,9,nothing,white,male
6247,1,54.49,control,facebook,1,108.98,1,13,nothing,white,female
6248,0,0,control,google,0,0,0,1,something,minority,male
6249,0,0,coupon,facebook,0,0,2,3,nothing,white,male
6250,0,0,coupon,instagram,0,0,4,7,something,white,male
6251,0,0,control,referral,1,68.99,6,15,nothing,white,female
6252,0,0,coupon,instagram,0,0,4,2,something,white,male
6253,0,0,coupon,facebook,0,0,5,10,nothing,white,female
6254,0,0,coupon,facebook,0,0,4,12,something,white,male
6255,1,38.392,coupon,facebook,7,47.99,1,2,nothing,white,male
6256,1,49.192,coupon,instagram,5,61.49,0,24,nothing,white,female
6257,0,0,coupon,instagram,1,63.49,0,6,nothing,white,male
6258,0,0,control,facebook,3,48.99,5,14,nothing,white,female
6259,0,0,coupon,google,2,48.99,4,12,nothing,white,female
6260,0,0,control,google,1,64.99,6,17,nothing,white,female
6261,0,0,control,instagram,3,77.99,5,19,nothing,white,female
6262,0,0,coupon,instagram,1,69.99,1,2,something,white,male
6263,0,0,coupon,google,0,0,6,18,nothing,white,female
6264,0,0,coupon,facebook,4,109.98,6,11,nothing,minority,female
6265,0,0,coupon,google,3,84.99,5,19,nothing,minority,female
6266,0,0,control,referral,2,57.99,6,4,nothing,white,male
6267,0,0,control,google,2,59.99,5,9,nothing,white,male
6268,0,0,coupon,facebook,0,0,0,21,something,white,female
6269,0,0,control,google,0,0,2,13,nothing,minority,female
6270,0,0,control,instagram,4,82.99,6,19,nothing,white,female
6271,0,0,coupon,google,0,0,0,10,nothing,minority,male
6272,0,0,control,other,2,40.49,1,2,nothing,white,male
6273,0,0,control,instagram,4,66.49,1,11,nothing,white,female
6274,0,0,control,google,0,0,5,16,nothing,minority,male
6275,0,0,coupon,facebook,4,57.99,5,15,something,white,female
6276,0,0,control,google,0,0,2,21,nothing,white,male
6277,0,0,coupon,instagram,1,197.97,2,21,nothing,white,female
6278,1,69.99,control,other,0,0,3,14,something,white,female
6279,0,0,coupon,referral,2,48.49,1,17,nothing,white,female
6280,0,0,coupon,google,1,41.99,0,4,something,white,male
6281,0,0,control,facebook,0,0,6,16,something,white,female
6282,0,0,coupon,facebook,4,65.99,2,4,something,white,male
6283,1,70.49,control,instagram,0,0,2,23,nothing,white,female
6284,0,0,coupon,google,4,55.99,5,22,nothing,white,female
6285,0,0,control,google,2,49.99,1,8,nothing,white,male
6286,0,0,coupon,instagram,3,54.99,4,17,nothing,white,female
6287,0,0,control,instagram,0,0,1,17,nothing,white,female
6288,0,0,coupon,instagram,0,0,1,24,nothing,white,female
6289,0,0,coupon,instagram,1,62.99,0,1,something,white,male
6290,1,62.99,control,other,0,0,6,13,nothing,white,female
6291,0,0,coupon,instagram,2,83.49,1,11,nothing,minority,male
6292,0,0,control,google,1,52.49,6,22,nothing,minority,female
6293,0,0,control,facebook,1,57.99,7,20,nothing,white,female
6294,1,54.392,coupon,facebook,1,67.99,0,16,nothing,minority,female
6295,0,0,coupon,google,5,66.99,1,1,nothing,white,male
6296,0,0,control,google,4,93.98,1,12,something,minority,female
6297,0,0,coupon,google,0,0,7,21,nothing,white,female
6298,0,0,coupon,instagram,4,72.99,6,30,nothing,white,female
6299,0,0,control,instagram,0,0,7,17,nothing,white,female
6300,0,0,control,instagram,0,0,4,15,nothing,white,female
6301,0,0,coupon,facebook,1,66.99,7,24,nothing,white,female
6302,0,0,control,instagram,1,61.99,5,14,nothing,white,male
6303,0,0,control,instagram,0,0,4,3,nothing,minority,male
6304,0,0,coupon,google,1,60.99,0,15,nothing,white,female
6305,0,0,control,facebook,7,137.98,2,9,nothing,white,female
6306,0,0,control,google,4,55.99,0,3,something,minority,male
6307,0,0,control,referral,0,0,5,25,nothing,white,female
6308,0,0,control,google,1,45.99,7,23,nothing,white,female
6309,0,0,control,google,0,0,7,16,something,white,female
6310,0,0,coupon,google,4,65.49,1,9,nothing,white,male
6311,0,0,control,google,2,55.99,6,12,nothing,white,female
6312,0,0,coupon,referral,1,53.99,0,18,something,white,female
6313,0,0,control,google,3,57.99,3,21,nothing,minority,female
6314,0,0,coupon,google,2,68.49,3,12,something,minority,male
6315,0,0,control,instagram,1,47.99,0,22,nothing,minority,female
6316,2,153.98,control,instagram,9,76.99,1,21,nothing,white,female
6317,0,0,control,google,0,0,7,8,something,white,male
6318,0,0,coupon,google,0,0,1,15,nothing,minority,female
6319,1,44.49,control,google,15,44.49,1,13,nothing,white,female
6320,1,58.392,coupon,facebook,0,0,2,14,something,white,female
6321,0,0,control,google,0,0,3,16,something,minority,female
6322,0,0,coupon,google,2,218.97,0,16,nothing,minority,female
6323,1,45.192,coupon,other,3,56.49,1,11,something,white,male
6324,0,0,coupon,referral,1,73.99,6,11,nothing,white,male
6325,0,0,coupon,google,0,0,0,1,something,white,male
6326,0,0,coupon,facebook,0,0,1,10,nothing,white,male
6327,0,0,coupon,google,0,0,5,16,something,minority,male
6328,0,0,coupon,google,4,279.96,2,11,nothing,minority,female
6329,0,0,coupon,google,2,81.49,4,23,nothing,white,female
6330,0,0,coupon,referral,1,71.49,7,16,nothing,white,female
6331,0,0,coupon,facebook,2,50.99,6,22,something,white,male
6332,0,0,coupon,instagram,0,0,6,12,nothing,white,female
6333,0,0,control,google,2,60.99,0,2,nothing,white,male
6334,0,0,coupon,instagram,0,0,6,12,nothing,minority,female
6335,0,0,coupon,instagram,8,64.99,4,12,nothing,white,male
6336,0,0,control,google,1,68.99,6,17,nothing,white,male
6337,1,67.49,control,other,0,0,1,19,something,minority,female
6338,0,0,control,google,1,72.49,0,24,something,white,female
6339,0,0,coupon,instagram,4,58.99,6,10,nothing,white,female
6340,0,0,control,google,2,60.99,2,16,nothing,white,male
6341,2,92.784,coupon,google,8,57.99,6,1,something,white,male
6342,0,0,coupon,google,0,0,6,8,something,white,male
6343,0,0,coupon,google,0,0,5,21,something,minority,female
6344,0,0,control,google,7,73.49,0,19,nothing,white,female
6345,0,0,control,instagram,0,0,0,23,nothing,white,female
6346,0,0,coupon,instagram,4,72.99,5,19,nothing,white,female
6347,0,0,coupon,google,0,0,5,24,nothing,minority,female
6348,0,0,control,google,4,51.49,0,16,nothing,minority,female
6349,0,0,coupon,facebook,1,57.99,6,4,something,white,male
6350,0,0,coupon,instagram,1,81.98,5,18,something,white,female
6351,0,0,control,google,0,0,5,11,nothing,white,female
6352,0,0,coupon,google,1,51.99,6,20,nothing,white,female
6353,0,0,coupon,facebook,1,63.99,0,2,nothing,white,male
6354,0,0,control,instagram,0,0,2,18,something,white,female
6355,0,0,coupon,instagram,2,59.99,5,24,nothing,white,female
6356,1,58.392,coupon,google,2,72.99,1,15,nothing,minority,female
6357,0,0,control,google,1,70.49,4,19,nothing,minority,female
6358,0,0,control,facebook,2,61.99,5,11,nothing,white,male
6359,0,0,coupon,instagram,0,0,1,21,nothing,white,female
6360,1,58.792,coupon,referral,6,73.49,6,1,something,white,male
6361,0,0,coupon,facebook,2,51.99,1,20,nothing,white,female
6362,0,0,coupon,google,0,0,5,20,nothing,minority,female
6363,0,0,control,facebook,6,70.49,6,9,nothing,white,female
6364,0,0,control,google,1,73.49,3,19,nothing,white,male
6365,0,0,coupon,facebook,11,58.99,0,1,nothing,white,male
6366,0,0,coupon,instagram,4,63.99,3,21,nothing,white,female
6367,0,0,control,google,0,0,7,14,nothing,white,male
6368,0,0,control,instagram,1,52.99,0,22,nothing,white,female
6369,0,0,control,google,7,48.99,5,17,nothing,white,female
6370,0,0,coupon,instagram,3,119.98,1,13,something,white,female
6371,0,0,control,google,0,0,7,14,nothing,white,female
6372,0,0,coupon,facebook,1,230.97,2,26,nothing,white,female
6373,0,0,coupon,instagram,0,0,2,1,something,white,male
6374,0,0,coupon,facebook,3,65.49,4,17,nothing,white,female
6375,0,0,coupon,instagram,0,0,5,8,nothing,white,female
6376,0,0,coupon,facebook,0,0,2,10,something,white,male
6377,0,0,coupon,google,1,65.49,2,21,nothing,minority,female
6378,0,0,control,facebook,0,0,6,19,nothing,white,male
6379,0,0,control,facebook,4,127.98,2,10,something,white,male
6380,0,0,control,google,2,49.99,5,18,something,minority,male
6381,0,0,coupon,google,2,65.49,6,5,something,white,male
6382,0,0,control,google,2,184.47,0,16,something,white,female
6383,0,0,coupon,referral,2,148.98,3,15,nothing,white,female
6384,0,0,control,instagram,2,69.99,4,20,nothing,white,female
6385,0,0,control,instagram,3,53.49,1,8,something,white,male
6386,0,0,coupon,google,2,60.99,0,19,nothing,minority,female
6387,0,0,coupon,google,0,0,0,24,something,white,male
6388,0,0,coupon,google,2,83.98,1,1,something,white,male
6389,0,0,coupon,referral,0,0,4,10,nothing,white,male
6390,1,60.49,control,instagram,5,60.49,0,10,nothing,white,female
6391,2,114.98,control,instagram,2,172.47,1,18,nothing,white,female
6392,0,0,control,instagram,2,36.99,7,1,nothing,white,male
6393,0,0,control,google,1,68.99,4,27,nothing,minority,female
6394,0,0,coupon,facebook,1,233.97,7,1,something,white,male
6395,0,0,coupon,google,2,52.99,4,17,nothing,minority,male
6396,0,0,control,facebook,0,0,7,14,nothing,white,female
6397,0,0,coupon,facebook,3,44.99,0,13,nothing,white,female
6398,0,0,coupon,google,6,135.98,5,3,something,minority,male
6399,0,0,coupon,facebook,0,0,4,24,nothing,white,female
6400,1,60.392,coupon,facebook,10,75.49,2,12,nothing,white,male
6401,0,0,coupon,instagram,0,0,7,8,nothing,white,female
6402,0,0,control,google,4,76.99,6,22,something,white,female
6403,0,0,coupon,facebook,3,62.99,0,15,nothing,white,female
6404,0,0,coupon,google,0,0,0,19,something,minority,female
6405,0,0,coupon,google,3,73.99,0,14,nothing,white,male
6406,0,0,control,google,1,75.49,3,17,nothing,white,female
6407,0,0,control,instagram,0,0,6,13,nothing,white,male
6408,0,0,coupon,google,2,61.99,5,10,something,white,female
6409,1,39.192,coupon,instagram,0,0,1,24,nothing,white,female
6410,0,0,control,referral,0,0,0,10,nothing,white,female
6411,0,0,coupon,instagram,3,82.49,1,16,nothing,white,female
6412,0,0,control,google,1,69.49,6,10,something,white,male
6413,0,0,control,google,0,0,5,11,nothing,white,female
6414,0,0,coupon,facebook,2,39.99,2,7,nothing,white,male
6415,0,0,coupon,google,1,41.99,2,30,nothing,white,female
6416,0,0,control,instagram,0,0,6,22,something,white,female
6417,0,0,control,instagram,6,59.99,1,19,something,white,female
6418,0,0,coupon,google,0,0,0,7,nothing,minority,male
6419,0,0,coupon,facebook,0,0,4,19,nothing,minority,female
6420,2,107.184,coupon,facebook,9,133.98,1,12,nothing,white,female
6421,0,0,coupon,facebook,2,61.99,1,25,nothing,white,female
6422,0,0,control,instagram,1,59.99,0,16,nothing,white,female
6423,0,0,control,instagram,0,0,5,19,nothing,white,female
6424,0,0,control,google,0,0,1,15,nothing,white,female
6425,0,0,control,google,5,169.47,4,17,nothing,white,female
6426,0,0,control,facebook,1,60.49,0,7,something,white,male
6427,0,0,coupon,facebook,5,57.99,6,3,something,white,male
6428,0,0,control,google,3,67.49,4,24,nothing,minority,female
6429,0,0,control,instagram,0,0,2,15,nothing,white,female
6430,0,0,control,instagram,1,209.97,1,8,nothing,minority,female
6431,0,0,coupon,instagram,3,54.99,2,6,something,white,male
6432,0,0,coupon,google,3,60.49,0,15,nothing,minority,female
6433,0,0,coupon,instagram,5,223.96,5,9,nothing,minority,female
6434,0,0,control,facebook,0,0,0,9,something,white,male
6435,0,0,coupon,instagram,0,0,5,4,nothing,white,male
6436,0,0,coupon,instagram,0,0,4,1,something,white,male
6437,0,0,coupon,google,0,0,7,18,nothing,minority,female
6438,0,0,coupon,google,3,255.96,5,1,something,white,male
6439,0,0,control,instagram,1,61.99,1,22,nothing,white,female
6440,0,0,coupon,google,0,0,4,14,nothing,white,female
6441,0,0,coupon,instagram,7,59.49,4,18,nothing,white,female
6442,0,0,control,google,2,69.99,2,10,something,minority,male
6443,0,0,control,google,3,60.99,5,15,nothing,white,female
6444,0,0,coupon,google,0,0,0,12,nothing,white,female
6445,0,0,coupon,other,0,0,4,8,nothing,white,female
6446,0,0,control,google,7,194.97,0,19,nothing,white,female
6447,0,0,control,instagram,3,113.98,0,15,nothing,white,female
6448,0,0,control,referral,3,56.99,7,12,nothing,white,female
6449,0,0,coupon,facebook,0,0,7,18,something,white,male
6450,0,0,coupon,facebook,2,50.49,7,19,nothing,white,female
6451,0,0,coupon,google,1,46.99,5,17,nothing,white,female
6452,0,0,control,google,6,179.97,6,12,nothing,white,male
6453,0,0,control,google,3,178.47,6,18,nothing,white,female
6454,1,40.792,coupon,instagram,5,50.99,5,6,nothing,white,male
6455,0,0,coupon,instagram,1,92.98,5,20,nothing,white,female
6456,0,0,coupon,google,0,0,3,25,nothing,white,female
6457,0,0,control,instagram,2,57.99,1,2,nothing,minority,male
